,origin.tree$tip.label
637,Rubus_rosifolius
638,Rubus_hirsutus
639,Rubus_corchorifolius
640,Rubus_trianthus
641,Rubus_crataegifolius
642,Rubus_arcticus
643,Rubus_innominatus
644,Rubus_phoenicolasius
645,Rubus_parvifolius
646,Rubus_coreanus
647,Rubus_idaeus
648,Rubus_cuneifolius
649,Rubus_allegheniensis
650,Rubus_flagellaris
651,Rubus_odoratus
652,Rubus_chamaemorus
653,Geum_canadense
654,Geum_japonicum
655,Geum_virginianum
656,Geum_laciniatum
657,Geum_rivale
658,Geum_aleppicum
659,Filipendula_intermedia
660,Filipendula_palmata
661,Filipendula_angustiloba
662,Filipendula_glaberrima
663,Dryas_octopetala_var._asiatica
664,Photinia_pyrifolia
665,Aronia_melanocarpa
666,Aronia_arbutifolia
667,Malus_angustifolia
668,Malus_leiocalyca
669,Malus_soulardii
670,Malus_komarovii
671,Malus_asiatica
672,Malus_hupehensis
673,Malus_pumila
674,Malus_baccata
675,Malus_mandshurica
676,Malus_sieboldii
677,Photinia_beauverdiana
678,Photinia_schneideriana
679,Photinia_villosa
680,Photinia_parvifolia
681,Photinia_hirsuta
682,Photinia_komarovii
683,Photinia_glabra
684,Photinia_serratifolia
685,Photinia_davidsoniae
686,Pyracantha_fortuneana
687,Pyracantha_atalantioides
688,Pyracantha_crenulata
689,Crataegus_flabellata
690,Crataegus_hupehensis
691,Crataegus_dahurica
692,Crataegus_michauxii
693,Crataegus_macrosperma
694,Crataegus_sp.
695,Crataegus_maximowiczii
696,Crataegus_wilsonii
697,Crataegus_pinnatifida
698,Crataegus_monogyna
699,Sorbus_discolor
700,Sorbus_americana
701,Sorbus_dunnii
702,Sorbus_alnifolia
703,Sorbus_tianschanica
704,Sorbus_pohuashanensis
705,Sorbus_caloneura
706,Sorbus_hemsleyi
707,Sorbus_amabilis
708,Sorbus_folgneri
709,Sorbus_keissleri
710,Sorbus_wilsoniana
711,Sorbus_glomerulata
712,Pyrus_ussuriensis
713,Pyrus_koehnei
714,Pyrus_communis
715,Pyrus_betulifolia
716,Pyrus_calleryana
717,Pyrus_pyrifolia
718,Rhaphiolepis_indica
719,Rhaphiolepis_major
720,Eriobotrya_japonica
721,Cotoneaster_tenuipes
722,Cotoneaster_zabelii
723,Cotoneaster_gracilis
724,Cotoneaster_glabratus
725,Cotoneaster_buxifolius
726,Cotoneaster_apiculatus
727,Cotoneaster_salicifolius
728,Cotoneaster_divaricatus
729,Cotoneaster_acutifolius
730,Cotoneaster_bullatus
731,Cotoneaster_foveolatus
732,Cotoneaster_dielsianus
733,Cotoneaster_silvestrii
734,Cotoneaster_dammeri
735,Cotoneaster_horizontalis
736,Amelanchier_arborea
737,Amelanchier_laevis
738,Amelanchier_bartramiana
739,Amelanchier_canadensis
740,Amelanchier_asiatica
741,Amelanchier_stolonifera
742,Amelanchier_sp.
743,Stranvaesia_davidiana
744,Stranvaesia_amphidoxa
745,Gillenia_trifoliata
746,Spiraea_henryi
747,Spiraea_x_vanhouttei
748,Spiraea_alba
749,Spiraea_tomentosa
750,Spiraea_prunifolia_var._simpliciflora
751,Spiraea_cantoniensis
752,Spiraea_trilobata
753,Spiraea_mongolica
754,Spiraea_japonica
755,Spiraea_salicifolia
756,Spiraea_trichocarpa
757,Spiraea_blumei
758,Spiraea_pubescens
