Acer_acuminatum,Acer_cordatum
Rumex_obtusifolius_subsp._obtusifolius,Rumex_obtusifolius
Sagittaria_aginashii,Sagittaria_latifolia
Salix_zhataica,Salix_sp.
Salvia_xeropapillosa,Salvia_miltiorrhiza
Salvia_yukoyukparum,Salvia_japonica
Salvia_zaragozana,Salvia_azurea
Sambucus_wightiana,Sambucus_canadensis
Sarcococca_zeylanica,Sarcococca_ruscifolia
Sassafras_randaiense,Sassafras_albidum
Saussurea_yunnanensis,Saussurea_dielsiana
Schizophragma_fauriei,Schizophragma_integrifolium
Scirpus_wichurae,Scirpus_wichurae_var._asiaticus
Scleria_zambesica,Scleria_muehlenbergii
Scleria_zelanica,Scleria_ciliata
Scutellaria_yunnanensis,Scutellaria_laeteviolacea
Scutellaria_zivari,Scutellaria_incana
Sedum_lungtsuanense_Fu,Sedum_lungtsuanense
Senecio_yacuanguensis,Senecio_dubitabilis
Serratula_bocconi,Serratula_sp
Sideroxylon_lanuginosum,Sideroxylon_lanuginosum
Silphium_compositum,Silphium_compositum
Smilax_herbacea,Smilax_herbacea
Smilax_rotundifolia,Smilax_rotundifolia
Solanum_zumbense,Solanum_tuberosum
Solidago_asperata,Solidago_altissima
Solidago_bicolor,Solidago_bicolor
Solidago_horieana,Solidago_arguta_var._caroliniana
Solidago_ptarmicoides,Solidago_roanensis
Solidago_sempervirens,Solidago_rugosa_var._rugosa
Solidago_spectabilis,Solidago_puberula
Solidago_squarrosa,Solidago_latissimifolia
Solidago_tortifolia,Solidago_odora_subsp._chapmanii
Solidago_ulmifolia,Solidago_caesia
Sonchus_webbii,Sonchus_wightianus
Sonchus_wildpretii,Sonchus_arvensis
Sparganium_yunnanense,Sparganium_sp.
Spermolepis_organensis,Spermolepis_echinatus
Spiraea_uratensis,Spiraea_x_vanhouttei
Spiraea_vorobjevii,Spiraea_tomentosa
Spiraea_zabeliana,Spiraea_alba
Spiranthes_werklei,Spiranthes_gracilis
Stachys_yemenensis,Stachys_riederi_var._japonica
Stachys_zoharyana,Stachys_affinis
Stellaria_wushanensis,Stellaria_dichotoma
Stellaria_zolotuchinii,Stellaria_chinensis
Stewartia_tonkinensis,Stewartia_sinensis_var._brevicalyx
Stillingia_zelayensis,Stillingia_sylvatica
Stranvaesia_nussia,Stranvaesia_amphidoxa
Stylisma_villosa,Stylisma_humistrata
Symphoricarpos_albus,Symphoricarpos_albus_var._laevigatus
Symphyotrichum_novi-belgii,Symphyotrichum_novi-belgii
Symphyotrichum_tenuifolium,Symphyotrichum_walteri
Symphyotrichum_welshii,Symphyotrichum_novae-angliae
Symphyotrichum_yukonense,Symphyotrichum_subulatum_var._ligulatum
Symplocos_cochinchinensis,Symplocos_cochinchinensis_var._laurina
Synurus_palmatopinnatifidus,Synurus_deltoides
Taraxacum_zamarrudiae,Taraxacum_platypecidium
Taxodium_mucronatum,Taxodium_distichum_var._imbricatum
Taxus_wallichiana,Taxus_wallichiana_var._chinensis
Teucrium_zanonii,Teucrium_viscidum
Tradescantia_zebrina,Tradescantia_roseolens
Trema_cannabina,Trema_cannabina_var._dielsiana
Triadenum_petiolatum,Triadenum_sp.
Utricularia_yakusimensis,Utricularia_cornuta
Uvularia_puberula,Uvularia_perfoliata
Vaccinium_xerampelinum,Vaccinium_vitis-idaea
Vaccinium_yakushimense,Vaccinium_stamineum
