"name","longitude","latitude","scientificName","order","family","genus","species","genericName","specificEpithet","country"
"Pilosella caespitosa (Dumort.) P.D.Sell & C.West",-80.522747,37.375136,"Pilosella caespitosa (Dumort.) P.D.Sell & C.West","Asterales","Asteraceae","Pilosella","Pilosella caespitosa","Pilosella","caespitosa","United States of America"
"Tussilago farfara L.",-80.523872,37.376236,"Tussilago farfara L.","Asterales","Asteraceae","Tussilago","Tussilago farfara","Tussilago","farfara","United States of America"
"Conopholis americana (L.) Wallr.",-80.52004,37.375405,"Conopholis americana (L.) Wallr.","Lamiales","Orobanchaceae","Conopholis","Conopholis americana","Conopholis","americana","United States of America"
"Hamamelis virginiana L.",-80.523525,37.374815,"Hamamelis virginiana L.","Saxifragales","Hamamelidaceae","Hamamelis","Hamamelis virginiana","Hamamelis","virginiana","United States of America"
"Dennstaedtia punctilobula (Michx.) T.Moore",-80.525103,37.375575,"Dennstaedtia punctilobula (Michx.) T.Moore","Polypodiales","Dennstaedtiaceae","Dennstaedtia","Dennstaedtia punctilobula","Dennstaedtia","punctilobula","United States of America"
"Sisyrinchium angustifolium Mill.",-80.521034,37.37484,"Sisyrinchium angustifolium Mill.","Asparagales","Iridaceae","Sisyrinchium","Sisyrinchium angustifolium","Sisyrinchium","angustifolium","United States of America"
"Silene virginica L.",-80.524223,37.375778,"Silene virginica L.","Caryophyllales","Caryophyllaceae","Silene","Silene virginica","Silene","virginica","United States of America"
"Sisyrinchium angustifolium Mill.",-80.522747,37.375136,"Sisyrinchium angustifolium Mill.","Asparagales","Iridaceae","Sisyrinchium","Sisyrinchium angustifolium","Sisyrinchium","angustifolium","United States of America"
"Podophyllum peltatum L.",-80.5215,37.375122,"Podophyllum peltatum L.","Ranunculales","Berberidaceae","Podophyllum","Podophyllum peltatum","Podophyllum","peltatum","United States of America"
"Securigera varia (L.) Lassen",-80.521042,37.375008,"Securigera varia (L.) Lassen","Fabales","Fabaceae","Securigera","Securigera varia","Securigera","varia","United States of America"
"Acer saccharum Marshall",-80.522747,37.375136,"Acer saccharum Marshall","Sapindales","Sapindaceae","Acer","Acer saccharum","Acer","saccharum","United States of America"
"Hamamelis virginiana L.",-80.522385,37.375671,"Hamamelis virginiana L.","Saxifragales","Hamamelidaceae","Hamamelis","Hamamelis virginiana","Hamamelis","virginiana","United States of America"
"Hydrophyllum virginianum L.",-80.522747,37.375136,"Hydrophyllum virginianum L.","Boraginales","Hydrophyllaceae","Hydrophyllum","Hydrophyllum virginianum","Hydrophyllum","virginianum","United States of America"
"Parthenocissus quinquefolia (L.) Planch.",-80.522747,37.375136,"Parthenocissus quinquefolia (L.) Planch.","Vitales","Vitaceae","Parthenocissus","Parthenocissus quinquefolia","Parthenocissus","quinquefolia","United States of America"
"Galax urceolata (Poir.) Brummitt",-80.522747,37.375136,"Galax urceolata (Poir.) Brummitt","Ericales","Diapensiaceae","Galax","Galax urceolata","Galax","urceolata","United States of America"
"Acer rubrum L.",-80.522747,37.375136,"Acer rubrum L.","Sapindales","Sapindaceae","Acer","Acer rubrum","Acer","rubrum","United States of America"
"Maianthemum canadense Desf.",-80.522747,37.375136,"Maianthemum canadense Desf.","Asparagales","Asparagaceae","Maianthemum","Maianthemum canadense","Maianthemum","canadense","United States of America"
"Pinus strobus L.",-80.52178,37.374988,"Pinus strobus L.","Pinales","Pinaceae","Pinus","Pinus strobus","Pinus","strobus","United States of America"
"Robinia pseudoacacia L.",-80.522747,37.375136,"Robinia pseudoacacia L.","Fabales","Fabaceae","Robinia","Robinia pseudoacacia","Robinia","pseudoacacia","United States of America"
"Trifolium pratense L.",-80.524643,37.374191,"Trifolium pratense L.","Fabales","Fabaceae","Trifolium","Trifolium pratense","Trifolium","pratense","United States of America"
"Kalmia latifolia L.",-80.522747,37.375136,"Kalmia latifolia L.","Ericales","Ericaceae","Kalmia","Kalmia latifolia","Kalmia","latifolia","United States of America"
"Osmunda claytoniana L.",-80.522747,37.375136,"Osmunda claytoniana L.","Osmundales","Osmundaceae","Claytosmunda","Claytosmunda claytoniana","Osmunda","claytoniana","United States of America"
"Oxalis dillenii Jacq.",-80.522747,37.375136,"Oxalis dillenii Jacq.","Oxalidales","Oxalidaceae","Oxalis","Oxalis dillenii","Oxalis","dillenii","United States of America"
"Onoclea sensibilis L.",-80.522747,37.375136,"Onoclea sensibilis L.","Polypodiales","Onocleaceae","Onoclea","Onoclea sensibilis","Onoclea","sensibilis","United States of America"
"Silene latifolia Poir.",-80.522747,37.375136,"Silene latifolia Poir.","Caryophyllales","Caryophyllaceae","Silene","Silene latifolia","Silene","latifolia","United States of America"
"Asclepias syriaca L.",-80.522747,37.375136,"Asclepias syriaca L.","Gentianales","Apocynaceae","Asclepias","Asclepias syriaca","Asclepias","syriaca","United States of America"
