species,latitude,longitude,genus,epithet,family,order,country
Hamamelis virginiana,44.055155,-71.270329,Hamamelis,virginiana,Hamamelidaceae,Saxifragales,United states
Acer rubrum,44.055197,-71.270231,Acer,rubrum,Sapindaceae,Sapindales,United states
Acer saccharum,44.055088,-71.270386,Acer,saccharum,Sapindaceae,Sapindales,United states
Viburnum lantanoides,44.03561,-71.276359,Viburnum,lantanoides,Adoxaceae,Dipsacales,United states
Acer rubrum,44.041076,-71.275785,Acer,rubrum,Sapindaceae,Sapindales,United states
Acer pensylvanicum,44.040985,-71.27575,Acer,pensylvanicum,Sapindaceae,Sapindales,United states
Acer saccharum,44.036182,-71.276672,Acer,saccharum,Sapindaceae,Sapindales,United states
Corydalis sempervirens,44.08019,-71.23305,Capnoides,sempervirens,Papaveraceae,Ranunculales,United states
Fraxinus americana l.,44.0836,-71.3463,Fraxinus,americana,Oleaceae,Lamiales,United states
Fagus grandifolia ehrh.,44.0836,-71.3463,Fagus,grandifolia,Fagaceae,Fagales,United states
Paronychia argyrocoma (michx.) nutt.,44.04305,-71.21527,Paronychia,argyrocoma,Caryophyllaceae,Caryophyllales,United states
Amelanchier laevis wiegand,44.0478,-71.3753,Amelanchier,laevis,Rosaceae,Rosales,United states
Vaccinium uliginosum,43.97408,-71.27017,Vaccinium,uliginosum,Ericaceae,Ericales,United states
Salix alba,44.08019,-71.23305,Salix,alba,Salicaceae,Malpighiales,United states
Aralia nudicaulis,44.02657,-71.3228,Aralia,nudicaulis,Araliaceae,Apiales,United states
Thalictrum pubescens,44.02657,-71.3228,Thalictrum,pubescens,Ranunculaceae,Ranunculales,United states
Betula populifolia,44.0309,-71.26331,Betula,populifolia,Betulaceae,Fagales,United states
Aralia hispida,44.04426,-71.27705,Aralia,hispida,Araliaceae,Apiales,United states
Euthamia graminifolia,44.12179,-71.21355,Euthamia,graminifolia,Asteraceae,Asterales,United states
Asclepias exaltata,44.00242,-71.27781,Asclepias,exaltata,Apocynaceae,Gentianales,United states
Symphyotrichum cordifolium,44.00242,-71.27781,Symphyotrichum,cordifolium,Asteraceae,Asterales,United states
Robinia pseudoacacia,44.007509,-71.277094,Robinia,pseudoacacia,Fabaceae,Fabales,United states
Symphyotrichum cordifolium,44.00242,-71.27781,Symphyotrichum,cordifolium,Asteraceae,Asterales,United states
Lobelia dortmanna,44.0062,-71.27915,Lobelia,dortmanna,Campanulaceae,Asterales,United states
Silphium asteriscus,44.0062,-71.27915,Silphium,asteriscus,Asteraceae,Asterales,United states
Acer spicatum,44.055205,-71.270238,Acer,spicatum,Sapindaceae,Sapindales,United states
Fagus grandifolia,44.054997,-71.270497,Fagus,grandifolia,Fagaceae,Fagales,United states
Acer saccharum,44.0353,-71.277023,Acer,saccharum,Sapindaceae,Sapindales,United states
Fagus grandifolia,44.03538,-71.277011,Fagus,grandifolia,Fagaceae,Fagales,United states
