species,latitude,longitude,genus,epithet,family,order,country
Micranthes caroliniana,37.368459000000001,-80.521726000000001,Micranthes,caroliniana,Saxifragaceae,Saxifragales,United states
Acer rubrum,37.377856000000001,-80.522400000000005,Acer,rubrum,Sapindaceae,Sapindales,United states
Carya glabra,37.374284000000003,-80.524356999999995,Carya,glabra,Juglandaceae,Fagales,United states
Vaccinium angustifolium,37.377020000000002,-80.517520000000005,Vaccinium,angustifolium,Ericaceae,Ericales,United states
Anemone quinquefolia,37.374980000000001,-80.517200000000003,Anemone,quinquefolia,Ranunculaceae,Ranunculales,United states
Vaccinium stamineum,37.368330000000000,-80.521940000000001,Vaccinium,stamineum,Ericaceae,Ericales,United states
Gaultheria procumbens,37.377530999999998,-80.521124999999998,Gaultheria,procumbens,Ericaceae,Ericales,United states
Vaccinium pallidum,37.377530999999998,-80.521124999999998,Vaccinium,pallidum,Ericaceae,Ericales,United states
Carya ovata,37.371473999999999,-80.524257000000006,Carya,ovata,Juglandaceae,Fagales,United states
Acer pensylvanicum,37.371431999999999,-80.524100000000004,Acer,pensylvanicum,Sapindaceae,Sapindales,United states
Quercus rubra,37.374299999999998,-80.526820000000001,Quercus,rubra,Fagaceae,Fagales,United states
Quercus montana,37.374097999999996,-80.525964999999999,Quercus,montana,Fagaceae,Fagales,United states
Carya ovata,37.375635000000003,-80.518566000000007,Carya,ovata,Juglandaceae,Fagales,United states
Robinia pseudoacacia,37.371648999999998,-80.524732000000000,Robinia,pseudoacacia,Fabaceae,Fabales,United states
Quercus rubra,37.376840000000001,-80.525310000000005,Quercus,rubra,Fagaceae,Fagales,United states
Acer rubrum,37.375824999999999,-80.519700000000000,Acer,rubrum,Sapindaceae,Sapindales,United states
Quercus alba,37.376215000000002,-80.519205999999997,Quercus,alba,Fagaceae,Fagales,United states
Amelanchier arborea,37.375660000000003,-80.525260000000003,Amelanchier,arborea,Rosaceae,Rosales,United states
Carya ovata,37.371357000000003,-80.525953000000001,Carya,ovata,Juglandaceae,Fagales,United states
