species,latitude,longitude,genus,epithet,family,order,country
Hypericum mutilum,37.390403,-80.550062,Hypericum,mutilum,Hypericaceae,Malpighiales,United states
Astragalus canadensis,37.367347,-80.575896,Astragalus,canadensis,Fabaceae,Fabales,United states
Ilex verticillata,37.375688,-80.523075,Ilex,verticillata,Aquifoliaceae,Aquifoliales,United states
Anemone lancifolia,37.36,-80.53417,Anemone,lancifolia,Ranunculaceae,Ranunculales,United states
Impatiens pallida,37.360366,-80.516261,Impatiens,pallida,Balsaminaceae,Ericales,United states
Gaultheria procumbens,37.36833,-80.52194,Gaultheria,procumbens,Ericaceae,Ericales,United states
Pyrola americana,37.36833,-80.52194,Pyrola,americana,Ericaceae,Ericales,United states
Conopholis americana,37.43094,-80.5494,Conopholis,americana,Orobanchaceae,Lamiales,United states
Barbarea vulgaris,37.43094,-80.5494,Barbarea,vulgaris,Brassicaceae,Brassicales,United states
Vaccinium pallidum,37.377531,-80.521125,Vaccinium,pallidum,Ericaceae,Ericales,United states
Hexastylis virginica,37.4264,-80.55312,Hexastylis,virginica,Aristolochiaceae,Piperales,United states
Solidago roanensis porter,37.334097,-80.558995,Solidago,roanensis,Asteraceae,Asterales,United states
Monotropa uniflora,37.371861,-80.574474,Monotropa,uniflora,Ericaceae,Ericales,United states
Symphyotrichum praealtum var. angustior,37.42957,-80.491449,Symphyotrichum,praealtum,Asteraceae,Asterales,United states
Nyssa sylvatica,37.374806,-80.52682,Nyssa,sylvatica,Cornaceae,Cornales,United states
Acer pensylvanicum,37.37563,-80.5186,Acer,pensylvanicum,Sapindaceae,Sapindales,United states
Hamamelis virginiana,37.37488,-80.5269,Hamamelis,virginiana,Hamamelidaceae,Saxifragales,United states
Acer pensylvanicum,37.376506,-80.5193,Acer,pensylvanicum,Sapindaceae,Sapindales,United states
Rubus pensilvanicus,37.35925,-80.51839,Rubus,pensilvanicus,Rosaceae,Rosales,United states
Hydatica petiolaris,37.35925,-80.51839,Micranthes,petiolaris,Saxifragaceae,Saxifragales,United states
Rhododendron calendulaceum,37.37414,-80.52107,Rhododendron,calendulaceum,Ericaceae,Ericales,United states
Crataegus macrosperma,37.36081,-80.51978,Crataegus,macrosperma,Rosaceae,Rosales,United states
